,PC1,PC2,PC3,Anomaly_Label,Anomaly_Score
139,-409118532120.946,-1152831725088.5415,468695558063.90424,1,0.06652881007270794
140,-549010920967.92316,-1127101338388.041,503782446521.687,1,0.057632847622197614
141,-703050320155.566,-1157932332277.5088,508815183019.44763,1,0.06259751300058847
142,-846971047928.7303,-1268531596187.6582,508011075043.3511,1,0.06505605275185111
143,-1048310398395.9749,-1464691848071.5125,455632387909.0362,1,0.06029005653517522
144,-1297869611200.843,-1718071065770.4578,389273172938.5303,1,0.07071482391893374
145,-1595092617543.0674,-1949638416399.257,349736139477.0143,1,0.06889159994807514
146,-1960990169426.2861,-2070126691603.835,282862179078.8044,1,0.06679663506453148
147,-2363690860732.3755,-2098427775975.5923,227974080161.40872,1,0.06619175975408015
148,-2792950999250.0493,-2158226828180.8015,224429986340.90427,1,0.06211864455583732
149,-3254021925813.952,-2048757371844.4163,259161085063.59348,1,0.05718240247569206
150,-3717900219289.553,-1832057520253.52,316053054116.69885,1,0.05794450223432457
151,-4123759579843.552,-1638051368294.103,323753501339.2496,1,0.051068731999878825
152,-4467018149698.432,-1471376055081.4663,294802721566.4143,1,0.07388724746610054
153,-4758045330771.022,-1429109282241.1885,237548231837.49136,1,0.07191254897126848
154,-5034877996300.109,-1421673593547.5981,147791475192.16846,1,0.06385078939353439
155,-5324344676132.139,-1465658512367.0715,68673932980.02635,1,0.0691743333549702
156,-5609549978259.751,-1505513779343.2935,21971751826.37789,1,0.07342111583697886
157,-5939360626952.581,-1472942303965.5605,-16438060195.26604,1,0.08079567170662688
158,-6247991263674.9795,-1358183994397.0215,-54223156420.35723,1,0.0811135619292721
159,-6533414156138.761,-1230733199683.623,-96391801375.48016,1,0.0745490977338017
160,-6758467703195.243,-1081766632824.3395,-163260526028.61353,1,0.07496016268791433
161,-6959475397731.802,-942743094549.6533,-226286991532.98962,1,0.08107942974454979
162,-7133654993396.221,-889768535521.2001,-274735834923.42456,1,0.08043542212115029
163,-7346431464303.337,-855370501172.3484,-296118803353.1418,1,0.09196145992822002
164,-7534285252639.438,-793801528945.3407,-266829196758.84082,1,0.07266754615959964
